mainid,task_seq,title
1,1,アザミ「Lv.40」を倒す
1,2,アザミ「Lv.50」を倒す
1,3,アザミ「Lv.60」を倒す
1,4,アザミ「Lv.70」を倒す
1,5,アザミ「Lv.80」を倒す
2,1,ヒクイドリ「Lv.40」を倒す
2,2,ヒクイドリ「Lv.50」を倒す
2,3,ヒクイドリ「Lv.60」を倒す
2,4,ヒクイドリ「Lv.70」を倒す
2,5,ヒクイドリ「Lv.80」を倒す
2,6,ヒクイドリ「Lv.90」を倒す
3,1,シェリーヌ「1回目」を倒す
3,2,シェリーヌ「2回目」を倒す
3,3,シェリーヌ「3回目」を倒す
3,4,シェリーヌ「4回目」を倒す
3,5,シェリーヌ「5回目」を倒す
4,1,クレイドルシステム「1回目」を倒す
4,2,クレイドルシステム「2回目」を倒す
4,3,クレイドルシステム「3回目」を倒す
4,4,クレイドルシステム「4回目」を倒す
4,5,クレイドルシステム「5回目」を倒す
5,1,魔導機甲「憎羅」を倒す
5,2,魔導機甲「怨羅」を倒す
5,3,魔導機甲「凶羅」を倒す
5,4,魔導機甲「呪羅」を倒す
5,5,「ジャゼル」を倒す
6,1,魔女の使い魔×2を倒す「1戦目」
6,2,魔女の手下を倒す「2戦目」
6,3,幽冥の魔女を倒す「3戦目」
6,4,幽冥の魔女を倒す「4戦目」
6,5,幽冥の魔女を倒す「5戦目」
7,1,戦闘ロボット3体を倒す「1戦目」
7,2,戦闘ロボット3体を倒す「2戦目」
7,3,戦闘ロボット3体を倒す「3戦目」
7,4,特級デウス・エクスを倒す「4戦目」
7,5,リィカ・デラックスを倒す「5戦目」
8,1,黒炎の骸竜を倒す「1戦目」
8,2,黒炎の甦竜を倒す「2戦目」
8,3,黒炎の竜卵を倒す「3戦目」
8,4,黒炎の魔竜を倒す「4戦目」
8,5,真・黒炎の魔竜を倒す「5戦目」
